nome;ano;sexo;n
Brasil;2022;Total;13485025
Brasil;2022;Homens;6579610
Brasil;2022;Mulheres;6905415
Alta Floresta D'Oeste (RO);2022;Total;940
Alta Floresta D'Oeste (RO);2022;Homens;451
Alta Floresta D'Oeste (RO);2022;Mulheres;489
Ariquemes (RO);2022;Total;8045
Ariquemes (RO);2022;Homens;3571
Ariquemes (RO);2022;Mulheres;4474
Cabixi (RO);2022;Total;426
Cabixi (RO);2022;Homens;198
Cabixi (RO);2022;Mulheres;228
Cacoal (RO);2022;Total;8638
Cacoal (RO);2022;Homens;4126
Cacoal (RO);2022;Mulheres;4512
Cerejeiras (RO);2022;Total;1837
Cerejeiras (RO);2022;Homens;876
Cerejeiras (RO);2022;Mulheres;961
Colorado do Oeste (RO);2022;Total;1210
Colorado do Oeste (RO);2022;Homens;533
Colorado do Oeste (RO);2022;Mulheres;677
Corumbiara (RO);2022;Total;474
Corumbiara (RO);2022;Homens;243
Corumbiara (RO);2022;Mulheres;231
Costa Marques (RO);2022;Total;1609
Costa Marques (RO);2022;Homens;825
Costa Marques (RO);2022;Mulheres;784
Espigão D'Oeste (RO);2022;Total;1840
Espigão D'Oeste (RO);2022;Homens;956
Espigão D'Oeste (RO);2022;Mulheres;884
Guajará-Mirim (RO);2022;Total;1697
Guajará-Mirim (RO);2022;Homens;780
Guajará-Mirim (RO);2022;Mulheres;916
Jaru (RO);2022;Total;4390
Jaru (RO);2022;Homens;2094
Jaru (RO);2022;Mulheres;2296
Ji-Paraná (RO);2022;Total;11336
Ji-Paraná (RO);2022;Homens;5487
Ji-Paraná (RO);2022;Mulheres;5849
Machadinho D'Oeste (RO);2022;Total;3668
Machadinho D'Oeste (RO);2022;Homens;1794
Machadinho D'Oeste (RO);2022;Mulheres;1874
Nova Brasilândia D'Oeste (RO);2022;Total;1305
Nova Brasilândia D'Oeste (RO);2022;Homens;646
Nova Brasilândia D'Oeste (RO);2022;Mulheres;659
Ouro Preto do Oeste (RO);2022;Total;2784
Ouro Preto do Oeste (RO);2022;Homens;1497
Ouro Preto do Oeste (RO);2022;Mulheres;1287
Pimenta Bueno (RO);2022;Total;2983
Pimenta Bueno (RO);2022;Homens;1542
Pimenta Bueno (RO);2022;Mulheres;1441
Porto Velho (RO);2022;Total;24650
Porto Velho (RO);2022;Homens;12346
Porto Velho (RO);2022;Mulheres;12304
Presidente Médici (RO);2022;Total;1383
Presidente Médici (RO);2022;Homens;680
Presidente Médici (RO);2022;Mulheres;704
Rio Crespo (RO);2022;Total;547
Rio Crespo (RO);2022;Homens;271
Rio Crespo (RO);2022;Mulheres;276
Rolim de Moura (RO);2022;Total;6150
Rolim de Moura (RO);2022;Homens;3016
Rolim de Moura (RO);2022;Mulheres;3135
Santa Luzia D'Oeste (RO);2022;Total;806
Santa Luzia D'Oeste (RO);2022;Homens;366
Santa Luzia D'Oeste (RO);2022;Mulheres;440
Vilhena (RO);2022;Total;12432
Vilhena (RO);2022;Homens;5942
Vilhena (RO);2022;Mulheres;6490
São Miguel do Guaporé (RO);2022;Total;2126
São Miguel do Guaporé (RO);2022;Homens;951
São Miguel do Guaporé (RO);2022;Mulheres;1175
Nova Mamoré (RO);2022;Total;2909
Nova Mamoré (RO);2022;Homens;1493
Nova Mamoré (RO);2022;Mulheres;1416
Alvorada D'Oeste (RO);2022;Total;1070
Alvorada D'Oeste (RO);2022;Homens;525
Alvorada D'Oeste (RO);2022;Mulheres;546
Alto Alegre dos Parecis (RO);2022;Total;984
Alto Alegre dos Parecis (RO);2022;Homens;500
Alto Alegre dos Parecis (RO);2022;Mulheres;484
Alto Paraíso (RO);2022;Total;1389
Alto Paraíso (RO);2022;Homens;581
Alto Paraíso (RO);2022;Mulheres;808
Buritis (RO);2022;Total;3109
Buritis (RO);2022;Homens;1450
Buritis (RO);2022;Mulheres;1660
Novo Horizonte do Oeste (RO);2022;Total;493
Novo Horizonte do Oeste (RO);2022;Homens;243
Novo Horizonte do Oeste (RO);2022;Mulheres;250
Cacaulândia (RO);2022;Total;422
Cacaulândia (RO);2022;Homens;214
Cacaulândia (RO);2022;Mulheres;208
Campo Novo de Rondônia (RO);2022;Total;1182
Campo Novo de Rondônia (RO);2022;Homens;577
Campo Novo de Rondônia (RO);2022;Mulheres;605
Candeias do Jamari (RO);2022;Total;3423
Candeias do Jamari (RO);2022;Homens;1772
Candeias do Jamari (RO);2022;Mulheres;1651
Castanheiras (RO);2022;Total;580
Castanheiras (RO);2022;Homens;262
Castanheiras (RO);2022;Mulheres;318
Chupinguaia (RO);2022;Total;1659
Chupinguaia (RO);2022;Homens;795
Chupinguaia (RO);2022;Mulheres;864
Cujubim (RO);2022;Total;2483
Cujubim (RO);2022;Homens;1263
Cujubim (RO);2022;Mulheres;1220
Governador Jorge Teixeira (RO);2022;Total;645
Governador Jorge Teixeira (RO);2022;Homens;301
Governador Jorge Teixeira (RO);2022;Mulheres;344
Itapuã do Oeste (RO);2022;Total;1043
Itapuã do Oeste (RO);2022;Homens;498
Itapuã do Oeste (RO);2022;Mulheres;545
Ministro Andreazza (RO);2022;Total;674
Ministro Andreazza (RO);2022;Homens;315
Ministro Andreazza (RO);2022;Mulheres;359
Mirante da Serra (RO);2022;Total;857
Mirante da Serra (RO);2022;Homens;398
Mirante da Serra (RO);2022;Mulheres;459
Monte Negro (RO);2022;Total;1931
Monte Negro (RO);2022;Homens;979
Monte Negro (RO);2022;Mulheres;951
Nova União (RO);2022;Total;727
Nova União (RO);2022;Homens;321
Nova União (RO);2022;Mulheres;406
Parecis (RO);2022;Total;495
Parecis (RO);2022;Homens;256
Parecis (RO);2022;Mulheres;239
Pimenteiras do Oeste (RO);2022;Total;227
Pimenteiras do Oeste (RO);2022;Homens;109
Pimenteiras do Oeste (RO);2022;Mulheres;118
Primavera de Rondônia (RO);2022;Total;278
Primavera de Rondônia (RO);2022;Homens;114
Primavera de Rondônia (RO);2022;Mulheres;164
São Felipe D'Oeste (RO);2022;Total;587
São Felipe D'Oeste (RO);2022;Homens;270
São Felipe D'Oeste (RO);2022;Mulheres;317
São Francisco do Guaporé (RO);2022;Total;2169
São Francisco do Guaporé (RO);2022;Homens;1080
